Month,Plant,DC,Distance (KM),Duration (mins),Avg. In Transit Sublimation,Avg. On Floor Sublimation,Total Lbs Procured,Average BOL Weight,tavg,prcp,wspd,pres
23-Oct,Muscatine,NWC,"1,528",862,0.03,0.036,"559,778","39,447",14.77419355,21.1,10.74516129,1015.012903
23-Oct,Muscatine,JAX,"1,859",1025,0.029,0.077,"529,640","39,981",22.32258065,68.2,10.80645161,1015.429032
23-Oct,OKC,OKC,10.3,13,0.011,0.016,"368,934",,17.47096774,68.2,19.2483871,1015.877419
23-Oct,OKC,SPW,"2,558",1387,0.034125,0.015,"669,483",,18.7483871,4.8,8.632258065,1014.070968
23-Oct,Muscatine,WAU,371,212,0.011,0.009,"391,730","38,159",9.983870968,99.9,12.87419355,1015.403226
23-Nov,Muscatine,NWC,"1,528",862,0.03,0.065,"356,383","39,243",6.96,78.5,11.76666667,1020.816667
23-Nov,Muscatine,JAX,"1,859",1025,0.022,0.056,"294,071","40,418",17.76333333,96.6,12.38666667,1018.923333
23-Nov,OKC,OKC,10.3,13,0.017,0.024,"317,249",,11.31333333,36.3,16.71,1019.003333
23-Nov,OKC,SPW,"2,558",1387,0.034125,0.026,"342,912",,12.35333333,11.4,6.943333333,1017.983333
23-Nov,Muscatine,WAU,371,212,0.035,0.019,"206,973","41,031",2.886666667,55.6,12.92,1018.43
23-Dec,Muscatine,NWC,"1,528",862,0.03,0.06,"439,396","39,897",5.65483871,202.7,10.69677419,1020.36129
23-Dec,Muscatine,JAX,"1,859",1025,0.03,0.044,"374,740","40,132",15.20645161,191.9,12.4516129,1020.280645
23-Dec,OKC,OKC,10.3,13,0.012,0.018,"343,813",,7.851612903,41.8,16.83225806,1019.470968
23-Dec,OKC,SPW,"2,558",1387,0.034125,0.034,"450,225",,10.27419355,71.1,7.5,1019.325806
23-Dec,Muscatine,WAU,371,212,0.009,0.015,"255,091","38,575",1.251612903,56.6,11.70322581,1017.451613
24-Jan,Muscatine,NWC,"1,528",862,0.025,0.027,"333,027","39,334",2.070967742,158.1,13.71290323,1017.941935
24-Jan,Muscatine,JAX,"1,859",1025,0.027,0.038,"319,535","39,518",13.38387097,76.3,12.27741935,1019.683871
24-Jan,OKC,OKC,10.3,13,0.014,0.027,"316,335",,1.248387097,50.6,16.93870968,1019.664516
24-Jan,OKC,SPW,"2,558",1387,0.034125,0.026,"509,115","39,190",10.53870968,100.7,10.74516129,1018.919355
24-Jan,Muscatine,WAU,371,212,0.011,0.016,"197,940","39,139",-5.332258065,92,12.9,1016.490323
24-Feb,Muscatine,NWC,"1,528",862,0.024,0.028,"347,137","38,529",4.017241379,45.6,12.22758621,1016.417241
24-Feb,Muscatine,JAX,"1,859",1025,0.021,0.062,"315,193","39,399",14.41724138,67.2,11.3137931,1017.341379
24-Feb,OKC,OKC,10.3,13,0.007,0.038,"276,975",,10.08275862,46.6,19.51034483,1014.548276
24-Feb,OKC,SPW,"2,558",1387,0.039,0.026,"399,813","38,845",11.3,68.9,11.08965517,1015.575862
24-Feb,Muscatine,WAU,371,212,0.01,0.036,"227,178","39,444",0.551724138,15.3,12.97931034,1014.555172
24-Mar,Muscatine,NWC,"1,528",862,0.04,0.065,"445,251","39,358",8.45483871,182.9,16.1516129,1015.958065
24-Mar,Muscatine,JAX,"1,859",1025,0.028,0.053,"392,921","39,534",18.56774194,143.5,11.75806452,1016.464516
24-Mar,OKC,OKC,10.3,13,0.015,0.05,"321,546",,13.20322581,63.9,21.21612903,1012.983871
24-Mar,OKC,SPW,"2,558",1387,0.046,0.029,"470,793","39,358",13.02258065,41.7,11.39354839,1015.274194
24-Mar,Muscatine,WAU,371,212,0.012,0.035,"275,863","39,409",3.151612903,97.2,15.47741935,1014.793548
24-Apr,Muscatine,NWC,"1,528",862,0.04,0.092,"414,561","39,682",12.83666667,116.3,15.00666667,1014.696667
24-Apr,Muscatine,JAX,"1,859",1025,0.039,0.077,"474,534","39,994",20.73,32.5,12.42666667,1017.77
24-Apr,OKC,OKC,10.3,13,0.027,0.026,"419,377",,17.85,66.8,22.81,1011.89
24-Apr,OKC,SPW,"2,558",1387,0.046,0.041,"555,240","39,507",15.38666667,53.9,11.23333333,1016.06
24-Apr,Muscatine,WAU,371,212,0.017,0.044,"277,650","39,664",8.226666667,130.2,15.71333333,1012.676667
24-May,Muscatine,NWC,"1,528",862,0.04,0.105,"526,905","40,115",18.26129032,55.3,11.86129032,1013.403226
24-May,Muscatine,JAX,"1,859",1025,0.022,0.076,"567,895","40,578",25.2483871,79,10.76451613,1014.041935
24-May,OKC,OKC,10.3,13,0.016,0.029,"426,940",,22.29032258,82.1,18.0483871,1008.945161
24-May,OKC,SPW,"2,558",1387,0.053,0.05,"585,408","39,478",19.63870968,12.2,14.44193548,1012.667742
24-May,Muscatine,WAU,371,212,0.014,0.058,"315,599","39,450",14.58387097,142,12.21935484,1011.867742
24-Jun,Muscatine,NWC,"1,528",862,0.04,0.072,"679,877","39,936",23.9,165.2,13.79,1014.586667
24-Jun,Muscatine,JAX,"1,859",1025,0.046,0.1,"600,987","40,019",27.71666667,159.7,12.27333333,1014.923333
24-Jun,OKC,OKC,10.3,13,0.023,0.059,"360,847",,27.99666667,14.8,20.46,1010.956667
24-Jun,OKC,SPW,"2,558",1387,0.035,0.026,"709,639","39,265",24.99666667,0,14.19333333,1010.013333
24-Jun,Muscatine,WAU,371,212,0.014,0.052,"398,721","39,872",19.38,131.8,12.61,1013.516667
24-Jul,Muscatine,NWC,"1,528",862,0.04,0.058,"866,547","39,852",26.03870968,39.6,11.69354839,1016.041935
24-Jul,Muscatine,JAX,"1,859",1025,0.047,0.115,"751,533","39,534",27.95483871,244.7,8.829032258,1017.522581
24-Jul,OKC,OKC,10.3,13,0.014,0.039,"522,925",,28.27096774,79.1,17.24193548,1013.870968
24-Jul,OKC,SPW,"2,558",1387,0.011,0.035,"920,999","39,163",28.10645161,0,12.38387097,1010.990323
24-Jul,Muscatine,WAU,371,212,0.014,0.046,"558,002","39,857",20.40645161,135.9,8.467741935,1016.66129
24-Aug,Muscatine,NWC,"1,528",862,0.04,0.048,"751,542","39,531",23.74516129,168.5,11.53548387,1016.593548
24-Aug,Muscatine,JAX,"1,859",1025,0.037,0.124,"633,244","39,514",27.71290323,368,11.2,1015.267742
24-Aug,OKC,OKC,10.3,13,0.013,0.024,"422,585",,29.0516129,19.7,17.61290323,1014.741935
24-Aug,OKC,SPW,"2,558",1387,0.02,0.018,"776,944","39,498",25.20322581,1.3,12.54516129,1013.390323
24-Aug,Muscatine,WAU,371,212,0.017,0.052,"396,844","39,684",20.36774194,98,9.770967742,1017.780645
24-Sep,Muscatine,NWC,"1,528",862,0.04,0.026,"631,410","39,474",20.27,8.6,12.23666667,1019.016667
24-Sep,Muscatine,JAX,"1,859",1025,0.041,0.108,"669,395","39,460",26.04333333,320.9,10.58,1013.15
24-Sep,OKC,OKC,10.3,13,0.014,0.026,"410,569",,24.62666667,15.8,13.98666667,1014.16
24-Sep,OKC,SPW,"2,558",1387,0.023,0.018,"861,459","39,116",23.47666667,0,10.91333333,1010.39
24-Sep,Muscatine,WAU,371,212,0.02,0.048,"433,693","39,427",18.01,32.4,9.353333333,1018.306667
