ship_week_start,facility,boxes,dry_ice_per_box,total_dry_ice
10/1/2023,JAX,10570,11,116210
10/1/2023,NWC,13639,10.7,145305
10/1/2023,OKC,8177,13.2,107775
10/1/2023,SPW,14832,10.9,161815
10/1/2023,WAU,8336,11.2,93480
10/8/2023,JAX,8024,10.7,85525
10/8/2023,NWC,10025,8.4,84665
10/8/2023,OKC,5995,13.1,78720
10/8/2023,SPW,10712,9.9,105960
10/8/2023,WAU,5897,9.8,57670
10/15/2023,JAX,9638,10.9,104820
10/15/2023,NWC,11878,8.5,101310
10/15/2023,OKC,6692,12.8,85600
10/15/2023,SPW,12068,10,120765
10/15/2023,WAU,6984,9.8,68415
10/22/2023,JAX,8492,9.5,80645
10/22/2023,NWC,11658,6.5,75875
10/22/2023,OKC,6351,12.8,81035
10/22/2023,SPW,11537,8.6,99150
10/22/2023,WAU,7006,7.9,55685
10/29/2023,JAX,10143,8.2,82925
10/29/2023,NWC,13308,6.6,87640
10/29/2023,OKC,8209,11.6,94935
10/29/2023,SPW,14912,7.1,106140
10/29/2023,WAU,8237,7,57960
11/5/2023,JAX,10134,6.1,61595
11/5/2023,NWC,12917,6,78070
11/5/2023,OKC,8332,9.4,78730
11/5/2023,SPW,16107,5.9,94360
11/5/2023,WAU,6466,6.6,42775
11/12/2023,JAX,11072,6.1,67760
11/12/2023,NWC,16372,5.7,93415
11/12/2023,OKC,7638,8.6,65995
11/12/2023,SPW,19723,5.9,117110
11/12/2023,WAU,10104,6.9,69555
11/19/2023,JAX,3559,5.3,18695
11/19/2023,NWC,4204,5.1,21645
11/19/2023,OKC,1144,5.3,6080
11/19/2023,SPW,4490,5.3,23820
11/19/2023,WAU,2303,5.2,11885
11/26/2023,JAX,11844,6.1,72115
11/26/2023,NWC,16471,6.1,100100
11/26/2023,OKC,9746,9.2,89250
11/26/2023,SPW,16238,6.6,107700
11/26/2023,WAU,10123,6.6,66960
12/3/2023,JAX,11818,6.3,73865
12/3/2023,NWC,13558,6.1,83265
12/3/2023,OKC,9761,9.3,90830
12/3/2023,SPW,16072,6.4,102820
12/3/2023,WAU,8626,6.6,57165
12/10/2023,JAX,9809,6.3,62280
12/10/2023,NWC,14215,5.8,82335
12/10/2023,OKC,7799,8.8,68980
12/10/2023,SPW,13768,6.5,89960
12/10/2023,WAU,7979,6.6,52425
12/17/2023,JAX,10241,6.3,64630
12/17/2023,NWC,14300,5.9,83845
12/17/2023,OKC,7852,8.9,69750
12/17/2023,SPW,13665,6.9,94820
12/17/2023,WAU,8651,6.6,56665
12/24/2023,JAX,8042,6.3,50625
12/24/2023,NWC,10572,6.1,64880
12/24/2023,OKC,5803,9.3,53895
12/24/2023,SPW,11041,7.6,83655
12/24/2023,WAU,6099,6.9,42130
12/31/2023,JAX,8324,5.8,48615
12/31/2023,NWC,13288,5.9,77835
12/31/2023,OKC,7265,8.8,64010
12/31/2023,SPW,11337,6.4,71990
12/31/2023,WAU,7192,6.7,48145
1/7/2024,JAX,11705,5.6,65650
1/7/2024,NWC,13182,5.9,77780
1/7/2024,OKC,8359,8.7,72310
1/7/2024,SPW,16289,6.4,104260
1/7/2024,WAU,8829,6.4,56930
1/14/2024,JAX,9086,5.8,52560
1/14/2024,NWC,11765,5.8,67715
1/14/2024,OKC,7469,8.7,64880
1/14/2024,SPW,12838,6.4,82220
1/14/2024,WAU,7543,6.5,48760
1/21/2024,JAX,9839,6.9,67890
1/21/2024,NWC,11678,5.8,67810
1/21/2024,OKC,3826,8.6,32780
1/21/2024,SPW,11517,6.5,74305
1/21/2024,WAU,6550,7.2,47440
1/28/2024,JAX,10541,5.7,59625
1/28/2024,NWC,13130,5.9,77180
1/28/2024,OKC,9127,8.6,78320
1/28/2024,SPW,17139,6.3,108100
1/28/2024,WAU,8366,6.6,55175
2/4/2024,JAX,10583,5.9,62530
2/4/2024,NWC,13125,5.9,76980
2/4/2024,OKC,7700,8.7,66920
2/4/2024,SPW,13771,6.6,91145
2/4/2024,WAU,7965,7,55590
2/11/2024,JAX,9329,7.7,71475
2/11/2024,NWC,12823,6,77295
2/11/2024,OKC,6826,8.8,59905
2/11/2024,SPW,12185,6.5,78925
2/11/2024,WAU,7125,6.7,47860
2/18/2024,JAX,8847,5.9,52055
2/18/2024,NWC,11843,5.8,69050
2/18/2024,OKC,6378,8.8,56280
2/18/2024,SPW,11277,6.9,77290
2/18/2024,WAU,6731,6.8,45960
2/25/2024,JAX,8833,5.8,50795
2/25/2024,NWC,12141,5.9,71050
2/25/2024,OKC,7015,11.8,82905
2/25/2024,SPW,13228,6.9,91335
2/25/2024,WAU,6940,6.9,47905
3/3/2024,JAX,12073,7.6,92045
3/3/2024,NWC,17363,5.8,100365
3/3/2024,OKC,9661,9.6,92770
3/3/2024,SPW,18553,6.5,120125
3/3/2024,WAU,9914,6.8,67530
3/10/2024,JAX,10118,7.5,76305
3/10/2024,NWC,11599,5.9,68920
3/10/2024,OKC,7125,9.2,65325
3/10/2024,SPW,12975,6.9,89065
3/10/2024,WAU,7362,6.6,48715
3/17/2024,JAX,8755,7.9,68770
3/17/2024,NWC,12121,5.8,70375
3/17/2024,OKC,6694,9,60390
3/17/2024,SPW,11173,6.9,76990
3/17/2024,WAU,6760,6.6,44650
3/24/2024,JAX,10056,7.8,78745
3/24/2024,NWC,14452,5.9,85535
3/24/2024,OKC,7396,10.2,75115
3/24/2024,SPW,14077,6.6,92660
3/24/2024,WAU,6904,6.7,46475
3/31/2024,JAX,9305,10.8,100375
3/31/2024,NWC,12814,6,77115
3/31/2024,OKC,8798,11.9,104595
3/31/2024,SPW,15343,7.1,109045
3/31/2024,WAU,9247,6.9,63625
4/7/2024,JAX,8944,9.2,82115
4/7/2024,NWC,12534,6.3,78780
4/7/2024,OKC,6522,11.2,73135
4/7/2024,SPW,12502,7.1,89320
4/7/2024,WAU,7502,7.7,57795
4/14/2024,JAX,9752,10.5,102550
4/14/2024,NWC,11982,6.4,77010
4/14/2024,OKC,6710,12.7,85310
4/14/2024,SPW,12003,7.4,88685
4/14/2024,WAU,7028,7.6,53135
4/21/2024,JAX,7198,9.2,66500
4/21/2024,NWC,9691,6.1,59245
4/21/2024,OKC,5819,11.5,66710
4/21/2024,SPW,11286,8.3,93535
4/21/2024,WAU,6960,7.8,54480
4/28/2024,JAX,11408,10.1,115360
4/28/2024,NWC,16416,7.7,125900
4/28/2024,OKC,9170,12.7,116325
4/28/2024,SPW,17024,8.3,140485
4/28/2024,WAU,9871,8,78625
5/5/2024,JAX,10225,10.9,111730
5/5/2024,NWC,14149,7.3,103085
5/5/2024,OKC,7644,12.5,95845
5/5/2024,SPW,14503,7.7,111620
5/5/2024,WAU,7703,7.8,60345
5/12/2024,JAX,9042,9.1,82350
5/12/2024,NWC,12143,6.4,78040
5/12/2024,OKC,6866,12.4,85405
5/12/2024,SPW,12302,9.2,112840
5/12/2024,WAU,7059,7.6,53530
5/19/2024,JAX,8521,11,93680
5/19/2024,NWC,11532,6.9,79405
5/19/2024,OKC,6137,12.8,78605
5/19/2024,SPW,10806,8.3,89890
5/19/2024,WAU,6431,8.9,57005
5/26/2024,JAX,9330,11.2,104925
5/26/2024,NWC,14651,8.8,129585
5/26/2024,OKC,7156,12.6,90195
5/26/2024,SPW,13702,8.1,110355
5/26/2024,WAU,7740,10.1,77945
6/2/2024,JAX,10763,11.2,120465
6/2/2024,NWC,13440,8.8,117730
6/2/2024,OKC,8326,11.9,99440
6/2/2024,SPW,14947,8.9,133645
6/2/2024,WAU,8596,9.8,84650
6/9/2024,JAX,8693,10.6,92550
